Time,O,H,L,C
1319,12321.51,12326.23,12321.51,12325.83
1320,12325.91,12325.99,12322.15,12324.23
1321,12324.39,12325.03,12319.18,12319.9
1322,12320.31,12321.67,12316.7,12320.71
1323,12320.79,12321.91,12320.79,12321.51
1324,12321.59,12321.75,12319.1,12319.18
1325,12319.26,12321.59,12319.26,12321.43
1326,12321.59,12325.51,12321.27,12325.51
1327,12326.07,12327.52,12325.03,12326.23
1328,12325.99,12328.4,12325.99,12328.4
1329,12328.56,12330.64,12328.56,12330.48
1330,12330.64,12331.36,12328.48,12329.2
1331,12329.52,12340.41,12329.36,12338.81
1332,12336.01,12336.41,12330.64,12336.41
1333,12332.72,12332.72,12328.88,12330
1334,12330.08,12330.56,12325.83,12326.63
1335,12326.39,12333.52,12326.39,12333.52
1336,12333.92,12334.81,12328.4,12328.64
1337,12328.48,12328.64,12325.67,12325.75
1338,12325.83,12326.55,12324.71,12326.47
1339,12326.63,12329.68,12326.39,12329.68
1340,12329.84,12330.72,12329.68,12330.32
1341,12330.24,12334.89,12327.19,12327.84
1342,12327.92,12338.97,12327.92,12337.93
1343,12334.08,12334.08,12324.31,12330.48
1344,12330.4,12334.08,12330.16,12331.6
1345,12331.04,12331.04,12327.03,12329.36
1346,12329.68,12330.96,12328.72,12328.72
1347,12327.36,12327.84,12324.79,12327.52
1348,12326.55,12326.55,12317.02,12323.51
1349,12323.67,12325.03,12318.78,12318.86
1350,12318.94,12322.95,12318.94,12321.51
1351,12321.75,12323.99,12321.75,12322.47
1352,12322.71,12328,12322.71,12328
1353,12328.16,12331.36,12328.16,12331.36
1354,12331.68,12332.96,12326.55,12326.55
1355,12325.75,12326.55,12320.71,12326.55
1356,12326.71,12331.36,12325.99,12329.6
1357,12328.96,12329.92,12328.56,12329.92
1358,12330.08,12330.96,12325.91,12325.91
1359,12325.51,12327.68,12324.47,12327.6
1400,12327.76,12329.84,12327.76,12329.76
1401,12330.08,12330.8,12328.32,12328.32
1402,12328.24,12332.96,12326.95,12332.96
1403,12332.8,12333.84,12327.52,12327.52
1404,12327.44,12329.52,12326.47,12328.4
1405,12327.6,12328.56,12326.31,12327.19
1406,12326.87,12329.76,12326.31,12329.6
1407,12329.2,12331.52,12329.04,12330.56
1408,12330.64,12330.88,12329.6,12330.24
1409,12330,12332.16,12329.6,12332
1410,12331.92,12332.24,12330.48,12332.08
1411,12332.16,12334.65,12332.08,12334.57
1412,12335.05,12340.41,12334.65,12340.01
1413,12339.37,12339.85,12337.93,12338.81
1414,12338.49,12339.69,12337.37,12339.61
1415,12339.85,12340.01,12339.29,12339.77
1416,12339.85,12341.94,12339.53,12341.94
1417,12342.1,12342.42,12341.53,12341.78
1418,12341.62,12341.86,12338.65,12339.13
1419,12338.89,12338.89,12337.37,12337.77
1420,12337.61,12339.77,12337.29,12339.69
1421,12339.85,12341.29,12339.85,12340.17
1422,12340.33,12340.57,12338.49,12339.21
1423,12339.69,12341.21,12339.37,12341.05
1424,12341.13,12344.66,12340.97,12341.21
1425,12341.45,12343.06,12341.05,12341.45
1426,12341.29,12342.34,12340.97,12342.26
1427,12342.34,12345.14,12341.29,12344.9
1428,12344.98,12351.95,12344.66,12351.63
1429,12351.31,12354.99,12351.23,12354.99
1430,12355.07,12355.31,12350.75,12351.39
1431,12351.47,12353.87,12351.47,12352.51
1432,12352.59,12352.59,12350.67,12351.15
1433,12351.23,12352.03,12351.15,12351.23
1434,12351.39,12353.55,12351.23,12353.55
1435,12353.47,12353.63,12352.19,12352.19
1436,12352.11,12353.07,12352.11,12352.19
1437,12352.27,12353.15,12351.95,12352.67
1438,12352.51,12362.04,12352.43,12362.04
1439,12362.2,12370.14,12362.04,12368.93
1440,12369.01,12369.01,12364.53,12366.85
1441,12366.61,12370.62,12366.61,12370.62
1442,12370.46,12370.62,12368.29,12368.29
1443,12367.01,12367.09,12364.61,12365.41
1444,12364.85,12365.25,12356.2,12358.6
1445,12358.84,12362.44,12358.52,12362.28
1446,12362.2,12367.57,12362.2,12367.33
1447,12367.49,12367.49,12366.53,12366.85
1448,12367.01,12367.65,12366.45,12367.65
1449,12367.97,12370.22,12367.01,12367.49
1450,12367.41,12367.97,12367.09,12367.65
1451,12367.33,12367.49,12365.09,12365.57
1452,12365.73,12366.93,12365.57,12366.93
1453,12367.01,12367.01,12364.45,12364.53
1454,12364.29,12365.49,12364.29,12365.49
1455,12365.25,12365.25,12357.8,12358.04
1456,12358.2,12359,12357.88,12359
1457,12358.84,12361.64,12358.84,12361.56
