"Date","Open","High","Low","Close","a","b"
"26/05/2008",13875.98,13883.51,13670.92,13690.19,13738.7815646232,"ETS(A,N,N)"
"27/05/2008",13750.82,13931.23,13750.82,13893.31,13867.3455927885,"ETS(A,N,N)"
"28/05/2008",13937.14,13979.39,13665.57,13709.44,13709.4586424184,"ETS(A,N,N)"
"29/05/2008",13832.65,14147.89,13832.65,14124.47,14099.4066758511,"ETS(A,N,N)"
"30/05/2008",14195.66,14366.63,14192.17,14338.54,14338.5183006907,"ETS(A,N,N)"
"02/06/2008",14342.96,14461.03,14189.97,14440.14,14440.1180225896,"ETS(A,N,N)"
"03/06/2008",14275.61,14289.47,14127.75,14209.17,14220.8991105722,"ETS(A,N,N)"
"04/06/2008",14270.07,14435.57,14250.11,14435.57,14409.3776330532,"ETS(A,N,N)"
"05/06/2008",14392.59,14392.59,14262.02,14341.12,14349.1546766152,"ETS(A,N,N)"
"06/06/2008",14530.36,14601.27,14489.44,14489.44,14473.4553157379,"ETS(A,N,N)"
"09/06/2008",14275.34,14278.84,14117.79,14181.38,14227.2970024539,"ETS(A,N,N)"
"10/06/2008",14281.36,14308.89,13983.56,14021.17,14039.7210589507,"ETS(A,N,N)"
"11/06/2008",14137.54,14194.48,13993.57,14183.48,14164.2515961974,"ETS(A,N,N)"
"12/06/2008",14010.32,14010.32,13826.07,13888.6,13935.4323000705,"ETS(A,N,N)"
"13/06/2008",14011.12,14041.34,13810.38,13973.73,13967.2409087724,"ETS(A,N,N)"
"16/06/2008",14118.23,14369.09,14103.5,14354.37,14286.9895660324,"ETS(A,N,N)"
"17/06/2008",14387,14387,14299.67,14348.37,14341.0681003544,"ETS(A,N,N)"
"18/06/2008",14301.36,14469.99,14301.36,14452.82,14438.5142982974,"ETS(A,N,N)"
"19/06/2008",14324.71,14324.71,14069.16,14130.17,14193.0191920159,"ETS(A,N,N)"
"20/06/2008",14171.02,14190,13903.21,13942.08,13967.1430735586,"ETS(A,N,N)"
"23/06/2008",13769.44,13920.75,13667.84,13857.47,13869.8914302773,"ETS(A,N,N)"
"24/06/2008",13766.28,13877.49,13738.39,13849.56,13853.6938130202,"ETS(A,N,N)"
