"Date","Open","High","Low","Close","a"
"07/02/2002",9481.09,9634.79,9458.7,9583.27,10203.4729032258
"08/02/2002",9564.75,9753.75,9538.45,9686.06,10178.1222580645
"12/02/2002",9816.96,9949.73,9816.96,9877.99,10160.1696774194
"13/02/2002",9901.89,10039.25,9865.75,9968.35,10148.3277419355
"14/02/2002",10014.18,10235.38,10014.18,10081.09,10142.7238709677
"15/02/2002",10098.23,10152,10025.55,10048.1,10138.0635483871
"18/02/2002",10021.55,10119.21,9980.89,10093.25,10126.31
"19/02/2002",10113.69,10129.34,9847.16,9847.16,10103.8758064516
"20/02/2002",9783.16,9901.24,9773.95,9834.13,10070.4125806452
"21/02/2002",9913.85,10295.42,9895.45,10295.42,10049.5435483871
"22/02/2002",10219.85,10418.64,10165.72,10356.78,10038.6138709677
"25/02/2002",10394.73,10446.28,10289.83,10296.47,10026.7587096774
"26/02/2002",10405.46,10458.87,10183.52,10202.63,10015.9264516129
"27/02/2002",10268.87,10573.09,10268.87,10573.09,10020.1683870968
"28/02/2002",10634.93,10798.67,10587.83,10587.83,10032.4193548387
"01/03/2002",10641.36,10813.45,10540.31,10812,10052.884516129
"04/03/2002",10942.5,11450.22,10941.36,11450.22,10095.5309677419
"05/03/2002",11529.21,11602.75,11348.45,11348.45,10129.5674193548
"06/03/2002",11375.87,11648.38,11358.53,11358.53,10164.3506451613
"07/03/2002",11473.63,11690.36,11472.88,11648.34,10215.8783870968
"08/03/2002",11710.2,12010.25,11634.31,11885.79,10275.3906451613
"11/03/2002",11941.92,12034.04,11772.86,11919.3,10334.9148387097
"12/03/2002",11863.71,11912.29,11607.33,11607.33,10382.114516129
"13/03/2002",11548.24,11774.18,11415.31,11415.31,10420.645483871
"14/03/2002",11471.83,11568.82,11347.25,11568.82,10470.4129032258
"15/03/2002",11594.87,11709.44,11537.89,11648.01,10526.1719354839
"18/03/2002",11745.81,11789.46,11477.68,11498.38,10574.5777419355
"19/03/2002",11597.86,11792.82,11597.86,11792.82,10639.1387096774
"20/03/2002",11833.97,11833.97,11503.79,11526.78,10700.2629032258
"22/03/2002",11460.95,11519.68,11326.22,11345.08,10760.5687096774
"25/03/2002",11339.06,11378.78,11166.92,11261.09,10819.9312903226
"26/03/2002",11214.25,11524.23,11165,11207.92,10872.3393548387
"27/03/2002",11251.7,11421.01,11190.39,11323.68,10925.1658064516
"28/03/2002",11313.56,11348.22,11240.99,11333.11,10972.1051612903
"29/03/2002",11350.35,11389.6,11024.94,11024.94,11006.1887096774
"01/04/2002",11106.07,11148.5,11007.63,11028.7,11036.7567741935
"02/04/2002",11142.83,11217.24,11049.85,11204.49,11074.0596774194
"03/04/2002",11103.72,11476.94,11042.25,11400.71,11116.2358064516
"04/04/2002",11430.25,11537.13,11336.2,11379.2,11165.6564516129
"05/04/2002",11366.4,11412.99,11301.95,11335.49,11214.0874193548
