Date,Open,High,Low,Close,moving_average(att1),change(att1),change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,Pred,PrevClose,Diff,ActDiff
01/02/2013,11193.72,11237.84,11142.26,11191.34,11147.983333333332,52.68000000000029,24.709999999999127,247.23000000000138,42.409999999999854,11039.776666666667,10934.993333333332,10872.56,10790.61,11138.66,11113.95,10866.72,757.0,11191.34,11117.477333333332,11138.66,21.1826666666675,-52.68000000000029
04/02/2013,11254.16,11285.49,11194.74,11260.35,11196.783333333333,69.01000000000022,52.68000000000029,24.709999999999127,247.23000000000138,11147.983333333332,11039.776666666667,10934.993333333332,10872.56,11191.34,11138.66,11113.95,758.0,11260.35,11156.314666666667,11191.34,35.02533333333304,-69.01000000000022
05/02/2013,11105.24,11170.85,11046.92,11046.92,11166.203333333333,-213.4300000000003,69.01000000000022,52.68000000000029,24.709999999999127,11196.783333333333,11147.983333333332,11039.776666666667,10934.993333333332,11260.35,11191.34,11138.66,759.0,11046.92,11154.922666666667,11260.35,105.42733333333308,213.4300000000003
06/02/2013,11236.7,11498.42,11232.05,11463.75,11257.006666666668,416.8299999999999,-213.4300000000003,69.01000000000022,52.68000000000029,11166.203333333333,11196.783333333333,11147.983333333332,11039.776666666667,11046.92,11260.35,11191.34,760.0,11463.75,11210.596,11046.92,-163.67599999999948,-416.8299999999999
07/02/2013,11406.32,11446.81,11295.62,11357.07,11289.246666666666,-106.68000000000029,416.8299999999999,-213.4300000000003,69.01000000000022,11257.006666666668,11166.203333333333,11196.783333333333,11147.983333333332,11463.75,11046.92,11260.35,761.0,11357.07,11286.167333333337,11463.75,177.5826666666635,106.68000000000029
08/02/2013,11179.97,11299.71,11135.89,11153.16,11324.659999999998,-203.90999999999985,-106.68000000000029,416.8299999999999,-213.4300000000003,11289.246666666666,11257.006666666668,11166.203333333333,11196.783333333333,11357.07,11463.75,11046.92,762.0,11153.16,11248.526666666668,11357.07,108.54333333333125,203.90999999999985
12/02/2013,11346.72,11460.64,11343.44,11369.12,11293.116666666667,215.96000000000095,-203.90999999999985,-106.68000000000029,416.8299999999999,11324.659999999998,11289.246666666666,11257.006666666668,11166.203333333333,11153.16,11357.07,11463.75,763.0,11369.12,11259.168666666668,11153.16,-106.00866666666843,-215.96000000000095
13/02/2013,11333.72,11365.27,11196.66,11251.41,11257.896666666667,-117.71000000000095,215.96000000000095,-203.90999999999985,-106.68000000000029,11293.116666666667,11324.659999999998,11289.246666666666,11257.006666666668,11369.12,11153.16,11357.07,764.0,11251.41,11265.513333333334,11369.12,103.60666666666657,117.71000000000095
14/02/2013,11273.4,11356.54,11243.49,11307.28,11309.269999999999,55.8700000000008,-117.71000000000095,215.96000000000095,-203.90999999999985,11257.896666666667,11293.116666666667,11324.659999999998,11289.246666666666,11251.41,11369.12,11153.16,765.0,11307.28,11269.812666666667,11251.41,-18.402666666666846,-55.8700000000008
15/02/2013,11239.21,11261.58,11065.06,11173.83,11244.173333333334,-133.45000000000073,55.8700000000008,-117.71000000000095,215.96000000000095,11309.269999999999,11257.896666666667,11293.116666666667,11324.659999999998,11307.28,11251.41,11369.12,766.0,11173.83,11262.294,11307.28,44.986000000000786,133.45000000000073
18/02/2013,11318.22,11445.46,11308.83,11407.87,11296.326666666668,234.04000000000087,-133.45000000000073,55.8700000000008,-117.71000000000095,11244.173333333334,11309.269999999999,11257.896666666667,11293.116666666667,11173.83,11307.28,11251.41,767.0,11407.87,11275.112666666666,11173.83,-101.28266666666605,-234.04000000000087
19/02/2013,11336.45,11412.86,11336.45,11372.34,11318.013333333334,-35.530000000000655,234.04000000000087,-133.45000000000073,55.8700000000008,11296.326666666668,11244.173333333334,11309.269999999999,11257.896666666667,11407.87,11173.83,11307.28,768.0,11372.34,11300.004666666666,11407.87,107.865333333335,35.530000000000655
20/02/2013,11485.65,11510.52,11440.1,11468.28,11416.163333333332,95.94000000000051,-35.530000000000655,234.04000000000087,-133.45000000000073,11318.013333333334,11296.326666666668,11244.173333333334,11309.269999999999,11372.34,11407.87,11173.83,769.0,11468.28,11371.830666666667,11372.34,0.5093333333334158,-95.94000000000051
21/02/2013,11404.73,11442.11,11301.77,11309.13,11383.25,-159.15000000000146,95.94000000000051,-35.530000000000655,234.04000000000087,11416.163333333332,11318.013333333334,11296.326666666668,11244.173333333334,11468.28,11372.34,11407.87,770.0,11309.13,11377.894,11468.28,90.38600000000042,159.15000000000146
22/02/2013,11238.75,11390.65,11175.67,11385.94,11387.783333333333,76.81000000000131,-159.15000000000146,95.94000000000051,-35.530000000000655,11383.25,11416.163333333332,11318.013333333334,11296.326666666668,11309.13,11468.28,11372.34,771.0,11385.94,11392.296666666667,11309.13,-83.16666666666788,-76.81000000000131
25/02/2013,11564.55,11662.52,11562.1,11662.52,11452.529999999999,276.5799999999999,76.81000000000131,-159.15000000000146,95.94000000000051,11387.783333333333,11383.25,11416.163333333332,11318.013333333334,11385.94,11309.13,11468.28,772.0,11662.52,11495.683333333332,11385.94,-109.74333333333198,-276.5799999999999
26/02/2013,11449.66,11520.24,11374.83,11398.81,11482.423333333332,-263.71000000000095,276.5799999999999,76.81000000000131,-159.15000000000146,11452.529999999999,11387.783333333333,11383.25,11416.163333333332,11662.52,11385.94,11309.13,773.0,11398.81,11507.527333333332,11662.52,154.9926666666688,263.71000000000095
27/02/2013,11418.56,11419.62,11253.97,11253.97,11438.433333333334,-144.84000000000015,-263.71000000000095,276.5799999999999,76.81000000000131,11482.423333333332,11452.529999999999,11387.783333333333,11383.25,11398.81,11662.52,11385.94,774.0,11253.97,11394.956,11398.81,3.8539999999993597,144.84000000000015
28/02/2013,11396.73,11563.75,11392.56,11559.36,11404.046666666667,305.39000000000124,-144.84000000000015,-263.71000000000095,276.5799999999999,11438.433333333334,11482.423333333332,11452.529999999999,11387.783333333333,11253.97,11398.81,11662.52,775.0,11559.36,11491.13733333333,11253.97,-237.16733333333104,-305.39000000000124
01/03/2013,11464.71,11648.63,11464.71,11606.38,11473.236666666666,47.01999999999862,305.39000000000124,-144.84000000000015,-263.71000000000095,11404.046666666667,11438.433333333334,11482.423333333332,11452.529999999999,11559.36,11253.97,11398.81,776.0,11606.38,11534.883333333333,11559.36,24.47666666666737,-47.01999999999862
04/03/2013,11695.45,11767.68,11613.59,11652.29,11606.01,45.91000000000167,47.01999999999862,305.39000000000124,-144.84000000000015,11473.236666666666,11404.046666666667,11438.433333333334,11482.423333333332,11606.38,11559.36,11253.97,777.0,11652.29,11528.134,11606.38,78.24599999999919,-45.91000000000167
05/03/2013,11732.57,11779.42,11666.38,11683.45,11647.373333333331,31.159999999999854,45.91000000000167,47.01999999999862,305.39000000000124,11606.01,11473.236666666666,11404.046666666667,11438.433333333334,11652.29,11606.38,11559.36,778.0,11683.45,11589.731999999998,11652.29,62.55800000000272,-31.159999999999854
06/03/2013,11811.06,11933.82,11803.09,11932.27,11756.003333333334,248.8199999999997,31.159999999999854,45.91000000000167,47.01999999999862,11647.373333333331,11606.01,11473.236666666666,11404.046666666667,11683.45,11652.29,11606.38,779.0,11932.27,11702.289333333332,11683.45,-18.839333333331524,-248.8199999999997
07/03/2013,12037.25,12069.6,11946.01,11968.08,11861.266666666668,35.80999999999949,248.8199999999997,31.159999999999854,45.91000000000167,11756.003333333334,11647.373333333331,11606.01,11473.236666666666,11932.27,11683.45,11652.29,780.0,11968.08,11847.094,11932.27,85.1760000000013,-35.80999999999949
08/03/2013,12066.5,12283.62,12065.09,12283.62,12061.323333333334,315.5400000000009,35.80999999999949,248.8199999999997,31.159999999999854,11861.266666666668,11756.003333333334,11647.373333333331,11606.01,11968.08,11932.27,11683.45,781.0,12283.62,11986.618,11968.08,-18.538000000000466,-315.5400000000009
11/03/2013,12363.09,12403.95,12300.83,12349.05,12200.25,65.42999999999847,315.5400000000009,35.80999999999949,248.8199999999997,12061.323333333334,11861.266666666668,11756.003333333334,11647.373333333331,12283.62,11968.08,11932.27,782.0,12349.05,12083.16,12283.62,200.46000000000095,-65.42999999999847
12/03/2013,12433.6,12461.97,12314.81,12314.81,12315.826666666666,-34.23999999999978,65.42999999999847,315.5400000000009,35.80999999999949,12200.25,12061.323333333334,11861.266666666668,11756.003333333334,12349.05,12283.62,11968.08,783.0,12314.81,12116.686,12349.05,232.36399999999958,34.23999999999978
13/03/2013,12252.29,12339.45,12234.48,12239.66,12301.173333333334,-75.14999999999964,-34.23999999999978,65.42999999999847,315.5400000000009,12315.826666666666,12200.25,12061.323333333334,11861.266666666668,12314.81,12349.05,12283.62,784.0,12239.66,12270.430666666665,12314.81,44.379333333334216,75.14999999999964
14/03/2013,12332.16,12395.73,12248.65,12381.19,12311.886666666667,141.53000000000065,-75.14999999999964,-34.23999999999978,65.42999999999847,12301.173333333334,12315.826666666666,12200.25,12061.323333333334,12239.66,12314.81,12349.05,785.0,12381.19,12334.51,12239.66,-94.85000000000036,-141.53000000000065
15/03/2013,12437.68,12560.95,12434.47,12560.95,12393.933333333334,179.76000000000022,141.53000000000065,-75.14999999999964,-34.23999999999978,12311.886666666667,12301.173333333334,12315.826666666666,12200.25,12381.19,12239.66,12314.81,786.0,12560.95,12393.829333333331,12381.19,-12.639333333330796,-179.76000000000022
18/03/2013,12365.44,12373.17,12220.63,12220.63,12387.589999999998,-340.3200000000015,179.76000000000022,141.53000000000065,-75.14999999999964,12393.933333333334,12311.886666666667,12301.173333333334,12315.826666666666,12560.95,12381.19,12239.66,787.0,12220.63,12407.792000000003,12560.95,153.15799999999763,340.3200000000015
19/03/2013,12405.61,12491.16,12401.12,12468.23,12416.603333333333,247.60000000000036,-340.3200000000015,179.76000000000022,141.53000000000065,12387.589999999998,12393.933333333334,12311.886666666667,12301.173333333334,12220.63,12560.95,12381.19,788.0,12468.23,12421.796000000002,12220.63,-201.1660000000029,-247.60000000000036
21/03/2013,12592.0,12650.26,12586.06,12635.69,12441.516666666668,167.46000000000095,247.60000000000036,-340.3200000000015,179.76000000000022,12416.603333333333,12387.589999999998,12393.933333333334,12311.886666666667,12468.23,12220.63,12560.95,789.0,12635.69,12402.615333333333,12468.23,65.61466666666638,-167.46000000000095
22/03/2013,12498.51,12522.05,12338.53,12338.53,12480.816666666666,-297.15999999999985,167.46000000000095,247.60000000000036,-340.3200000000015,12441.516666666668,12416.603333333333,12387.589999999998,12393.933333333334,12635.69,12468.23,12220.63,790.0,12338.53,12463.912000000002,12635.69,171.77799999999843,297.15999999999985
25/03/2013,12507.61,12594.36,12480.42,12546.46,12506.893333333333,207.92999999999847,-297.15999999999985,167.46000000000095,247.60000000000036,12480.816666666666,12441.516666666668,12416.603333333333,12387.589999999998,12338.53,12635.69,12468.23,791.0,12546.46,12545.703333333335,12338.53,-207.17333333333409,-207.92999999999847
26/03/2013,12461.79,12540.12,12456.04,12471.62,12452.203333333333,-74.83999999999833,207.92999999999847,-297.15999999999985,167.46000000000095,12506.893333333333,12480.816666666666,12441.516666666668,12416.603333333333,12546.46,12338.53,12635.69,792.0,12471.62,12467.234,12546.46,79.22599999999875,74.83999999999833
27/03/2013,12476.58,12502.26,12442.39,12493.79,12503.956666666667,22.170000000000073,-74.83999999999833,207.92999999999847,-297.15999999999985,12452.203333333333,12506.893333333333,12480.816666666666,12441.516666666668,12471.62,12546.46,12338.53,793.0,12493.79,12525.762666666667,12471.62,-54.14266666666663,-22.170000000000073
28/03/2013,12457.13,12462.86,12286.37,12335.96,12433.79,-157.83000000000175,22.170000000000073,-74.83999999999833,207.92999999999847,12503.956666666667,12452.203333333333,12506.893333333333,12480.816666666666,12493.79,12471.62,12546.46,794.0,12335.96,12472.871333333334,12493.79,20.918666666666468,157.83000000000175
29/03/2013,12405.53,12425.96,12319.75,12397.91,12409.220000000001,61.95000000000073,-157.83000000000175,22.170000000000073,-74.83999999999833,12433.79,12503.956666666667,12452.203333333333,12506.893333333333,12335.96,12493.79,12471.62,795.0,12397.91,12491.036000000002,12335.96,-155.07600000000275,-61.95000000000073
01/04/2013,12371.34,12384.83,12133.0,12135.02,12289.63,-262.8899999999994,61.95000000000073,-157.83000000000175,22.170000000000073,12409.220000000001,12433.79,12503.956666666667,12452.203333333333,12397.91,12335.96,12493.79,796.0,12135.02,12330.459333333336,12397.91,67.45066666666389,262.8899999999994
02/04/2013,12051.57,12107.4,11805.78,12003.43,12178.786666666667,-131.59000000000015,-262.8899999999994,61.95000000000073,-157.83000000000175,12289.63,12409.220000000001,12433.79,12503.956666666667,12135.02,12397.91,12335.96,797.0,12003.43,12252.884666666667,12135.02,-117.86466666666638,131.59000000000015
03/04/2013,12112.09,12362.2,12102.05,12362.2,12166.883333333333,358.77000000000044,-131.59000000000015,-262.8899999999994,61.95000000000073,12178.786666666667,12289.63,12409.220000000001,12433.79,12003.43,12135.02,12397.91,798.0,12362.2,12215.172000000002,12003.43,-211.742000000002,-358.77000000000044
04/04/2013,12188.22,12634.54,12075.97,12634.54,12333.39,272.34000000000015,358.77000000000044,-131.59000000000015,-262.8899999999994,12166.883333333333,12178.786666666667,12289.63,12409.220000000001,12362.2,12003.43,12135.02,799.0,12634.54,12329.420000000002,12362.2,32.779999999998836,-272.34000000000015
