Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,UD,pred,pl
06/09/2010,3695.47,3695.47,3674.76,3684.73,40.76999999999998,7.589999999999691,133.05000000000018,3642.4900000000002,3582.02,3533.8799999999997,3495.0800000000004,3672.2,3631.43,3623.84,2727.0,0.0,0.4671645596079932,10.739999999999782
07/09/2010,3669.15,3672.54,3620.36,3643.81,12.5300000000002,40.76999999999998,7.589999999999691,3662.7866666666664,3642.4900000000002,3582.02,3533.8799999999997,3684.73,3672.2,3631.43,2728.0,0.0,0.49669116433124394,25.340000000000146
08/09/2010,3632.62,3686.91,3613.29,3677.21,-40.92000000000007,12.5300000000002,40.76999999999998,3666.9133333333334,3662.7866666666664,3642.4900000000002,3582.02,3643.81,3684.73,3672.2,2729.0,1.0,0.46210972704881836,-44.590000000000146
09/09/2010,3666.76,3731.06,3655.47,3722.15,33.40000000000009,-40.92000000000007,12.5300000000002,3668.5833333333335,3666.9133333333334,3662.7866666666664,3642.4900000000002,3677.21,3643.81,3684.73,2730.0,1.0,0.4929809287632434,-55.38999999999987
10/09/2010,3703.02,3731.86,3697.18,3725.82,44.940000000000055,33.40000000000009,-40.92000000000007,3681.056666666667,3668.5833333333335,3666.9133333333334,3662.7866666666664,3722.15,3677.21,3643.81,2731.0,1.0,0.48489006129043055,-22.800000000000182
13/09/2010,3765.24,3781.48,3751.57,3767.15,3.6700000000000728,44.940000000000055,33.40000000000009,3708.3933333333334,3681.056666666667,3668.5833333333335,3666.9133333333334,3725.82,3722.15,3677.21,2732.0,1.0,0.485022580721453,-1.9100000000003092
14/09/2010,3767.38,3784.13,3746.97,3774.4,41.32999999999993,3.6700000000000728,44.940000000000055,3738.3733333333334,3708.3933333333334,3681.056666666667,3668.5833333333335,3767.15,3725.82,3722.15,2733.0,1.0,0.49404505004481347,-7.019999999999982
15/09/2010,3776.19,3784.04,3738.44,3755.64,7.25,41.32999999999993,3.6700000000000728,3755.7900000000004,3738.3733333333334,3708.3933333333334,3681.056666666667,3774.4,3767.15,3725.82,2734.0,0.0,0.486647763289187,20.550000000000182
16/09/2010,3757.91,3766.13,3729.67,3736.3,-18.76000000000022,7.25,41.32999999999993,3765.73,3755.7900000000004,3738.3733333333334,3708.3933333333334,3755.64,3774.4,3767.15,2735.0,0.0,0.482985934126158,21.609999999999673
17/09/2010,3778.24,3795.48,3705.29,3722.02,-19.33999999999969,-18.76000000000022,7.25,3755.4466666666667,3765.73,3755.7900000000004,3738.3733333333334,3736.3,3755.64,3774.4,2736.0,0.0,0.507068223570081,-56.2199999999998
20/09/2010,3738.0,3792.38,3737.01,3788.01,-14.2800000000002,-19.33999999999969,-18.76000000000022,3737.986666666667,3755.4466666666667,3765.73,3755.7900000000004,3722.02,3736.3,3755.64,2737.0,1.0,0.49925983055533507,-50.01000000000022
21/09/2010,3781.74,3824.98,3777.62,3784.4,65.99000000000024,-14.2800000000002,-19.33999999999969,3748.7766666666666,3737.986666666667,3755.4466666666667,3765.73,3788.01,3722.02,3736.3,2738.0,1.0,0.4872506966959147,-2.6600000000003092
22/09/2010,3796.75,3796.75,3729.82,3735.05,-3.6100000000001273,65.99000000000024,-14.2800000000002,3764.81,3748.7766666666666,3737.986666666667,3755.4466666666667,3784.4,3788.01,3722.02,2739.0,0.0,0.5060892472165133,-61.69999999999982
23/09/2010,3762.43,3771.69,3666.23,3710.61,-49.34999999999991,-3.6100000000001273,65.99000000000024,3769.153333333333,3764.81,3748.7766666666666,3737.986666666667,3735.05,3784.4,3788.01,2740.0,0.0,0.5058939679854255,-51.81999999999971
24/09/2010,3687.83,3786.35,3686.29,3782.48,-24.440000000000055,-49.34999999999991,-3.6100000000001273,3743.353333333334,3769.153333333333,3764.81,3748.7766666666666,3710.61,3735.05,3784.4,2741.0,1.0,0.519803501310367,94.65000000000009
27/09/2010,3796.53,3800.87,3764.12,3766.16,71.86999999999989,-24.440000000000055,-49.34999999999991,3742.713333333333,3743.353333333334,3769.153333333333,3764.81,3782.48,3710.61,3735.05,2742.0,0.0,0.47560917249156187,30.370000000000346
28/09/2010,3750.53,3780.45,3711.15,3762.35,-16.320000000000164,71.86999999999989,-24.440000000000055,3753.0833333333335,3742.713333333333,3743.353333333334,3769.153333333333,3766.16,3782.48,3710.61,2743.0,1.0,0.5059305367056828,11.819999999999709
29/09/2010,3780.93,3798.48,3725.57,3737.12,-3.8099999999999454,-16.320000000000164,71.86999999999989,3770.33,3753.0833333333335,3742.713333333333,3743.353333333334,3762.35,3766.16,3782.48,2744.0,0.0,0.5024185613981942,-43.809999999999945
30/09/2010,3711.96,3782.67,3693.46,3715.18,-25.230000000000018,-3.8099999999999454,-16.320000000000164,3755.2100000000005,3770.33,3753.0833333333335,3742.713333333333,3737.12,3762.35,3766.16,2745.0,1.0,0.5224113749879669,3.2199999999998
01/10/2010,3722.93,3754.08,3672.9,3692.09,-21.940000000000055,-25.230000000000018,-3.8099999999999454,3738.2166666666667,3755.2100000000005,3770.33,3753.0833333333335,3715.18,3737.12,3762.35,2746.0,0.0,0.4882230209512377,30.83999999999969
04/10/2010,3689.18,3691.8,3640.48,3649.81,-23.08999999999969,-21.940000000000055,-25.230000000000018,3714.7966666666666,3738.2166666666667,3755.2100000000005,3770.33,3692.09,3715.18,3737.12,2747.0,0.0,0.5211474526163551,-39.36999999999989
05/10/2010,3648.96,3742.66,3638.34,3731.93,-42.2800000000002,-23.08999999999969,-21.940000000000055,3685.693333333333,3714.7966666666666,3738.2166666666667,3755.2100000000005,3649.81,3692.09,3715.18,2748.0,1.0,0.5213986206422678,82.9699999999998
06/10/2010,3750.87,3779.71,3746.63,3764.91,82.11999999999989,-42.2800000000002,-23.08999999999969,3691.2766666666666,3685.693333333333,3714.7966666666666,3738.2166666666667,3731.93,3649.81,3692.09,2749.0,1.0,0.4965687779876271,-14.039999999999964
07/10/2010,3769.26,3799.71,3732.45,3770.47,32.98000000000002,82.11999999999989,-42.2800000000002,3715.5499999999997,3691.2766666666666,3685.693333333333,3714.7966666666666,3764.91,3731.93,3649.81,2750.0,1.0,0.5026692781682902,1.2099999999995816
08/10/2010,3763.35,3774.92,3738.56,3763.18,5.559999999999945,32.98000000000002,82.11999999999989,3755.77,3715.5499999999997,3691.2766666666666,3685.693333333333,3770.47,3764.91,3731.93,2751.0,0.0,0.48494447128067275,0.17000000000007276
11/10/2010,3770.03,3782.02,3763.64,3768.49,-7.289999999999964,5.559999999999945,32.98000000000002,3766.1866666666665,3755.77,3715.5499999999997,3691.2766666666666,3763.18,3770.47,3764.91,2752.0,0.0,0.5112033031059173,-1.5400000000004184
12/10/2010,3738.04,3756.25,3700.26,3748.86,5.309999999999945,-7.289999999999964,5.559999999999945,3767.3799999999997,3766.1866666666665,3755.77,3715.5499999999997,3768.49,3763.18,3770.47,2753.0,1.0,0.47517636758601167,-10.820000000000164
13/10/2010,3768.85,3828.34,3766.93,3828.34,-19.629999999999654,5.309999999999945,-7.289999999999964,3760.1766666666667,3767.3799999999997,3766.1866666666665,3755.77,3748.86,3768.49,3763.18,2754.0,1.0,0.49839557681818913,-59.49000000000024
14/10/2010,3833.42,3845.36,3812.41,3819.17,79.48000000000002,-19.629999999999654,5.309999999999945,3781.896666666667,3760.1766666666667,3767.3799999999997,3766.1866666666665,3828.34,3748.86,3768.49,2755.0,0.0,0.478963838791163,14.25
15/10/2010,3829.69,3837.51,3798.93,3827.37,-9.170000000000073,79.48000000000002,-19.629999999999654,3798.7900000000004,3781.896666666667,3760.1766666666667,3767.3799999999997,3819.17,3828.34,3748.86,2756.0,0.0,0.5045261099053908,-2.3200000000001637
18/10/2010,3803.46,3842.39,3798.13,3834.5,8.199999999999818,-9.170000000000073,79.48000000000002,3824.9600000000005,3798.7900000000004,3781.896666666667,3760.1766666666667,3827.37,3819.17,3828.34,2757.0,1.0,0.47954699379894716,-31.039999999999964
19/10/2010,3828.75,3853.96,3794.89,3807.17,7.130000000000109,8.199999999999818,-9.170000000000073,3827.013333333334,3824.9600000000005,3798.7900000000004,3781.896666666667,3834.5,3827.37,3819.17,2758.0,0.0,0.5092280519587016,-21.579999999999927
20/10/2010,3793.39,3832.87,3786.36,3828.15,-27.329999999999927,7.130000000000109,8.199999999999818,3823.013333333334,3827.013333333334,3824.9600000000005,3798.7900000000004,3807.17,3834.5,3827.37,2759.0,1.0,0.48138579164925943,-34.76000000000022
21/10/2010,3820.73,3889.74,3811.44,3878.27,20.980000000000018,-27.329999999999927,7.130000000000109,3823.273333333333,3823.013333333334,3827.013333333334,3824.9600000000005,3828.15,3807.17,3834.5,2760.0,1.0,0.49954831547552114,-57.539999999999964
22/10/2010,3859.33,3887.82,3855.91,3868.54,50.11999999999989,20.980000000000018,-27.329999999999927,3837.8633333333332,3823.273333333333,3823.013333333334,3827.013333333334,3878.27,3828.15,3807.17,2761.0,1.0,0.49013522769842144,-9.210000000000036
25/10/2010,3894.91,3894.91,3862.8,3870.0,-9.730000000000018,50.11999999999989,20.980000000000018,3858.3199999999997,3837.8633333333332,3823.273333333333,3823.013333333334,3868.54,3878.27,3828.15,2762.0,0.0,0.491908166773225,24.909999999999854
