Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,prediction(att1)
19/04/2000,18998.06,19192.63,18794.48,19086.62,-39.11999999999898,-1426.0400000000009,-91.73999999999796,19470.946666666667,19989.913333333334,20598.103333333333,20627.38333333333,18969.52,19008.64,20434.68,74.0,19086.62,18631.705042295063
20/04/2000,19041.53,19382.44,18959.32,18959.32,117.09999999999854,-39.11999999999898,-1426.0400000000009,19021.593333333334,19470.946666666667,19989.913333333334,20598.103333333333,19086.62,18969.52,19008.64,75.0,18959.32,18978.466287645766
21/04/2000,19050.68,19269.06,18091.1,18252.68,-127.29999999999927,117.09999999999854,-39.11999999999898,19005.153333333332,19021.593333333334,19470.946666666667,19989.913333333334,18959.32,19086.62,18969.52,76.0,18252.68,18712.28614670061
24/04/2000,18247.48,18987.34,18247.48,18480.15,-706.6399999999994,-127.29999999999927,117.09999999999854,18766.20666666667,19005.153333333332,19021.593333333334,19470.946666666667,18252.68,18959.32,19086.62,77.0,18480.15,18016.113981832823
25/04/2000,18433.3,18630.3,18176.83,18272.33,227.47000000000116,-706.6399999999994,-127.29999999999927,18564.05,18766.20666666667,19005.153333333332,19021.593333333334,18480.15,18252.68,18959.32,78.0,18272.33,18258.730016382968
26/04/2000,18326.9,18439.18,17948.36,18134.31,-207.8199999999997,227.47000000000116,-706.6399999999994,18335.053333333333,18564.05,18766.20666666667,19005.153333333332,18272.33,18480.15,18252.68,79.0,18134.31,18161.708097213916
27/04/2000,18122.7,18245.44,18012.41,18019.17,-138.02000000000044,-207.8199999999997,227.47000000000116,18295.596666666668,18335.053333333333,18564.05,18766.20666666667,18134.31,18272.33,18480.15,80.0,18019.17,17901.04022818985
28/04/2000,18035.54,18137.01,17926.43,17973.7,-115.14000000000306,-138.02000000000044,-207.8199999999997,18141.936666666665,18295.596666666668,18335.053333333333,18564.05,18019.17,18134.31,18272.33,81.0,17973.7,17837.958633141563
01/05/2000,17979.25,18403.08,17979.25,18403.08,-45.469999999997526,-115.14000000000306,-138.02000000000044,18042.39333333333,18141.936666666665,18295.596666666668,18335.053333333333,17973.7,18019.17,18134.31,82.0,18403.08,17804.239766704624
02/05/2000,18497.52,18586.16,18428.92,18439.36,429.380000000001,-45.469999999997526,-115.14000000000306,18131.983333333334,18042.39333333333,18141.936666666665,18295.596666666668,18403.08,17973.7,18019.17,83.0,18439.36,18238.545625645605
08/05/2000,18465.71,18475.45,18189.8,18199.96,36.279999999998836,429.380000000001,-45.469999999997526,18272.046666666665,18131.983333333334,18042.39333333333,18141.936666666665,18439.36,18403.08,17973.7,84.0,18199.96,18299.265545685237
09/05/2000,18152.37,18152.37,17804.04,17844.54,-239.40000000000146,36.279999999998836,429.380000000001,18347.466666666667,18272.046666666665,18131.983333333334,18042.39333333333,18199.96,18439.36,18403.08,85.0,17844.54,17999.367231414788
10/05/2000,17799.21,17803.44,17393.59,17701.47,-355.41999999999825,-239.40000000000146,36.279999999998836,18161.286666666667,18347.466666666667,18272.046666666665,18131.983333333334,17844.54,18199.96,18439.36,86.0,17701.47,17672.01853938454
