Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
20/02/2013,14035.67,14058.27,13919.28,13927.54,53.909999999999854,8.3700000000008,-9.520000000000437,13996.94,13979.353333333333,13991.666666666666,13990.950000000003,14035.67,13981.76,13973.39,1.0,788.0,D,D,5.082143689219826E-81
21/02/2013,13927.54,13927.54,13834.4,13880.62,-108.1299999999992,53.909999999999854,8.3700000000008,13981.656666666668,13996.94,13979.353333333333,13991.666666666666,13927.54,14035.67,13981.76,1.0,789.0,D,D,6.829885399438216E-73
22/02/2013,13880.62,14001.19,13880.62,14000.57,-46.92000000000007,-108.1299999999992,53.909999999999854,13947.943333333335,13981.656666666668,13996.94,13979.353333333333,13880.62,13927.54,14035.67,1.0,790.0,U,D,7.1263111745092354E-71
25/02/2013,14000.57,14081.58,13784.01,13784.17,119.94999999999891,-46.92000000000007,-108.1299999999992,13936.243333333334,13947.943333333335,13981.656666666668,13996.94,14000.57,13880.62,13927.54,1.0,791.0,D,D,8.621661024579274E-65
26/02/2013,13784.17,13918.44,13784.17,13900.13,-216.39999999999964,119.94999999999891,-46.92000000000007,13888.453333333333,13936.243333333334,13947.943333333335,13981.656666666668,13784.17,14000.57,13880.62,1.0,792.0,U,D,3.0079405529236967E-54
27/02/2013,13900.13,14104.86,13880.19,14075.37,115.95999999999913,-216.39999999999964,119.94999999999891,13894.956666666665,13888.453333333333,13936.243333333334,13947.943333333335,13900.13,13784.17,14000.57,1.0,793.0,U,D,1.2955745246729927E-53
28/02/2013,14075.37,14149.15,14050.18,14054.49,175.2400000000016,115.95999999999913,-216.39999999999964,13919.89,13894.956666666665,13888.453333333333,13936.243333333334,14075.37,13900.13,13784.17,1.0,794.0,D,D,1.5751504369672922E-47
01/03/2013,14054.49,14107.09,13937.6,14089.66,-20.88000000000102,175.2400000000016,115.95999999999913,14009.996666666666,13919.89,13894.956666666665,13888.453333333333,14054.49,14075.37,13900.13,1.0,795.0,U,D,6.185849505483887E-69
04/03/2013,14089.66,14128.21,14030.37,14127.82,35.17000000000007,-20.88000000000102,175.2400000000016,14073.173333333334,14009.996666666666,13919.89,13894.956666666665,14089.66,14054.49,14075.37,1.0,796.0,U,D,5.7825460523017144E-71
05/03/2013,14127.82,14286.37,14127.82,14253.77,38.159999999999854,35.17000000000007,-20.88000000000102,14090.656666666668,14073.173333333334,14009.996666666666,13919.89,14127.82,14089.66,14054.49,1.0,797.0,U,D,1.8424510073686886E-81
06/03/2013,14253.77,14320.65,14253.0,14296.24,125.95000000000073,38.159999999999854,35.17000000000007,14157.083333333334,14090.656666666668,14073.173333333334,14009.996666666666,14253.77,14127.82,14089.66,1.0,798.0,U,D,2.6257441321011554E-77
07/03/2013,14296.24,14354.69,14296.24,14329.49,42.469999999999345,125.95000000000073,38.159999999999854,14225.943333333335,14157.083333333334,14090.656666666668,14073.173333333334,14296.24,14253.77,14127.82,1.0,799.0,U,D,8.603489286330169E-78
08/03/2013,14329.49,14413.17,14329.49,14397.07,33.25,42.469999999999345,125.95000000000073,14293.166666666666,14225.943333333335,14157.083333333334,14090.656666666668,14329.49,14296.24,14253.77,1.0,800.0,U,D,1.0511993958044595E-78
11/03/2013,14397.07,14448.06,14373.32,14447.29,67.57999999999993,33.25,42.469999999999345,14340.933333333334,14293.166666666666,14225.943333333335,14157.083333333334,14397.07,14329.49,14296.24,1.0,801.0,U,D,3.11322735290096E-83
12/03/2013,14447.29,14478.8,14412.06,14450.06,50.220000000001164,67.57999999999993,33.25,14391.283333333333,14340.933333333334,14293.166666666666,14225.943333333335,14447.29,14397.07,14329.49,1.0,802.0,U,D,4.3585140403496105E-83
13/03/2013,14450.06,14472.8,14411.66,14455.28,2.7699999999986176,50.220000000001164,67.57999999999993,14431.473333333333,14391.283333333333,14340.933333333334,14293.166666666666,14450.06,14447.29,14397.07,1.0,803.0,U,D,1.2831898043774624E-83
14/03/2013,14455.28,14539.29,14455.28,14539.14,5.220000000001164,2.7699999999986176,50.220000000001164,14450.876666666665,14431.473333333333,14391.283333333333,14340.933333333334,14455.28,14450.06,14447.29,1.0,804.0,U,D,3.392666985580874E-85
15/03/2013,14539.14,14539.14,14470.5,14514.11,83.85999999999876,5.220000000001164,2.7699999999986176,14481.493333333332,14450.876666666665,14431.473333333333,14391.283333333333,14539.14,14455.28,14450.06,1.0,805.0,D,D,4.276630467222865E-83
18/03/2013,14514.11,14521.59,14404.21,14452.06,-25.029999999998836,83.85999999999876,5.220000000001164,14502.843333333332,14481.493333333332,14450.876666666665,14431.473333333333,14514.11,14539.14,14455.28,1.0,806.0,D,D,2.2946679636874117E-82
19/03/2013,14452.06,14514.34,14382.09,14455.82,-62.05000000000109,-25.029999999998836,83.85999999999876,14501.769999999999,14502.843333333332,14481.493333333332,14450.876666666665,14452.06,14514.11,14539.14,1.0,807.0,U,D,2.800993451177696E-79
20/03/2013,14455.82,14546.82,14455.82,14511.73,3.7600000000002183,-62.05000000000109,-25.029999999998836,14473.996666666666,14501.769999999999,14502.843333333332,14481.493333333332,14455.82,14452.06,14514.11,1.0,808.0,U,D,2.1080028360809538E-81
21/03/2013,14511.73,14511.73,14383.02,14421.49,55.909999999999854,3.7600000000002183,-62.05000000000109,14473.203333333333,14473.996666666666,14501.769999999999,14502.843333333332,14511.73,14455.82,14452.06,1.0,809.0,D,D,2.983868696200336E-81
22/03/2013,14421.49,14519.95,14421.49,14512.03,-90.23999999999978,55.909999999999854,3.7600000000002183,14463.013333333334,14473.203333333333,14473.996666666666,14501.769999999999,14421.49,14511.73,14455.82,1.0,810.0,U,D,3.995262786730012E-79
25/03/2013,14512.03,14563.75,14395.0,14447.75,90.54000000000087,-90.23999999999978,55.909999999999854,14481.75,14463.013333333334,14473.203333333333,14473.996666666666,14512.03,14421.49,14511.73,1.0,811.0,D,D,8.55303775760458E-77
26/03/2013,14447.75,14561.54,14447.75,14559.65,-64.28000000000065,90.54000000000087,-90.23999999999978,14460.423333333334,14481.75,14463.013333333334,14473.203333333333,14447.75,14512.03,14421.49,1.0,812.0,U,D,2.10370504694602E-74
27/03/2013,14559.65,14559.65,14439.55,14526.16,111.89999999999964,-64.28000000000065,90.54000000000087,14506.476666666667,14460.423333333334,14481.75,14463.013333333334,14559.65,14447.75,14512.03,1.0,813.0,D,D,1.3840064775490152E-76
28/03/2013,14526.16,14585.1,14520.86,14578.54,-33.48999999999978,111.89999999999964,-64.28000000000065,14511.186666666666,14506.476666666667,14460.423333333334,14481.75,14526.16,14559.65,14447.75,1.0,814.0,U,D,1.664731501563847E-76
01/04/2013,14578.54,14605.72,14531.48,14572.85,52.38000000000102,-33.48999999999978,111.89999999999964,14554.783333333333,14511.186666666666,14506.476666666667,14460.423333333334,14578.54,14526.16,14559.65,1.0,815.0,D,D,1.5544620162357651E-80
02/04/2013,14572.85,14684.49,14572.85,14662.01,-5.690000000000509,52.38000000000102,-33.48999999999978,14559.183333333334,14554.783333333333,14511.186666666666,14506.476666666667,14572.85,14578.54,14526.16,1.0,816.0,U,D,6.666213937308381E-84
03/04/2013,14662.01,14683.13,14525.36,14550.35,89.15999999999985,-5.690000000000509,52.38000000000102,14604.466666666667,14559.183333333334,14554.783333333333,14511.186666666666,14662.01,14572.85,14578.54,1.0,817.0,D,D,7.917926907021795E-84
04/04/2013,14550.35,14625.24,14538.72,14606.11,-111.65999999999985,89.15999999999985,-5.690000000000509,14595.07,14604.466666666667,14559.183333333334,14554.783333333333,14550.35,14662.01,14572.85,1.0,818.0,U,D,1.8520242421925388E-75
05/04/2013,14606.11,14606.11,14434.43,14565.25,55.76000000000022,-111.65999999999985,89.15999999999985,14606.156666666668,14595.07,14604.466666666667,14559.183333333334,14606.11,14550.35,14662.01,1.0,819.0,D,D,7.504065925144231E-76
08/04/2013,14565.25,14613.48,14497.8,14613.48,-40.86000000000058,55.76000000000022,-111.65999999999985,14573.903333333334,14606.156666666668,14595.07,14604.466666666667,14565.25,14606.11,14550.35,1.0,820.0,U,D,7.091295771773648E-77
09/04/2013,14613.48,14716.46,14598.5,14673.46,48.22999999999956,-40.86000000000058,55.76000000000022,14594.946666666665,14573.903333333334,14606.156666666668,14595.07,14613.48,14565.25,14606.11,1.0,821.0,U,D,4.0563450641520507E-84
10/04/2013,14673.46,14826.66,14673.46,14802.24,59.97999999999956,48.22999999999956,-40.86000000000058,14617.396666666667,14594.946666666665,14573.903333333334,14606.156666666668,14673.46,14613.48,14565.25,1.0,822.0,U,D,4.507075766598785E-83
11/04/2013,14802.24,14887.51,14785.36,14865.14,128.78000000000065,59.97999999999956,48.22999999999956,14696.393333333333,14617.396666666667,14594.946666666665,14573.903333333334,14802.24,14673.46,14613.48,1.0,823.0,U,D,7.667598500100583E-81
12/04/2013,14865.14,14865.21,14790.57,14865.06,62.899999999999636,128.78000000000065,59.97999999999956,14780.279999999999,14696.393333333333,14617.396666666667,14594.946666666665,14865.14,14802.24,14673.46,1.0,824.0,D,D,4.090723972779658E-81
15/04/2013,14865.06,14865.06,14598.58,14599.2,-0.07999999999992724,62.899999999999636,128.78000000000065,14844.146666666666,14780.279999999999,14696.393333333333,14617.396666666667,14865.06,14865.14,14802.24,1.0,825.0,D,D,6.137729651737267E-82
16/04/2013,14599.2,14761.73,14599.2,14756.78,-265.85999999999876,-0.07999999999992724,62.899999999999636,14776.466666666665,14844.146666666666,14780.279999999999,14696.393333333333,14599.2,14865.06,14865.14,1.0,826.0,U,D,2.4018837384352018E-61
17/04/2013,14756.78,14756.78,14560.81,14618.59,157.57999999999993,-265.85999999999876,-0.07999999999992724,14740.346666666666,14776.466666666665,14844.146666666666,14780.279999999999,14756.78,14599.2,14865.06,1.0,827.0,D,D,1.3725935357053302E-56
18/04/2013,14618.59,14650.26,14495.29,14537.14,-138.1900000000005,157.57999999999993,-265.85999999999876,14658.190000000002,14740.346666666666,14776.466666666665,14844.146666666666,14618.59,14756.78,14599.2,1.0,828.0,D,D,1.352135751103807E-51
19/04/2013,14537.14,14553.73,14444.03,14547.51,-81.45000000000073,-138.1900000000005,157.57999999999993,14637.503333333334,14658.190000000002,14740.346666666666,14776.466666666665,14537.14,14618.59,14756.78,1.0,829.0,U,D,6.537745351549454E-67
22/04/2013,14547.51,14588.83,14457.6,14567.17,10.3700000000008,-81.45000000000073,-138.1900000000005,14567.746666666666,14637.503333333334,14658.190000000002,14740.346666666666,14547.51,14537.14,14618.59,1.0,830.0,U,D,1.1952347243379698E-71
23/04/2013,14567.17,14721.42,14554.29,14719.46,19.659999999999854,10.3700000000008,-81.45000000000073,14550.606666666667,14567.746666666666,14637.503333333334,14658.190000000002,14567.17,14547.51,14537.14,1.0,831.0,U,D,2.1532674711438336E-81
24/04/2013,14719.46,14747.42,14666.54,14676.3,152.28999999999905,19.659999999999854,10.3700000000008,14611.38,14550.606666666667,14567.746666666666,14637.503333333334,14719.46,14567.17,14547.51,1.0,832.0,D,D,2.581107453250767E-78
25/04/2013,14676.3,14768.05,14665.45,14700.8,-43.159999999999854,152.28999999999905,19.659999999999854,14654.309999999998,14611.38,14550.606666666667,14567.746666666666,14676.3,14719.46,14567.17,1.0,833.0,U,D,3.0036088453831655E-76
26/04/2013,14700.8,14743.49,14684.82,14712.55,24.5,-43.159999999999854,152.28999999999905,14698.853333333333,14654.309999999998,14611.38,14550.606666666667,14700.8,14676.3,14719.46,1.0,834.0,U,D,8.221856016841347E-78
29/04/2013,14712.55,14844.96,14712.55,14818.75,11.75,24.5,-43.159999999999854,14696.549999999997,14698.853333333333,14654.309999999998,14611.38,14712.55,14700.8,14676.3,1.0,835.0,U,D,4.295913399520331E-85
30/04/2013,14818.75,14839.8,14734.47,14839.8,106.20000000000073,11.75,24.5,14744.033333333333,14696.549999999997,14698.853333333333,14654.309999999998,14818.75,14712.55,14700.8,1.0,836.0,U,D,8.108694634074247E-84
01/05/2013,14839.8,14839.8,14687.05,14700.95,21.049999999999272,106.20000000000073,11.75,14790.366666666667,14744.033333333333,14696.549999999997,14698.853333333333,14839.8,14818.75,14712.55,1.0,837.0,D,D,1.1065424630976614E-83
02/05/2013,14700.95,14834.63,14700.95,14831.58,-138.84999999999854,21.049999999999272,106.20000000000073,14786.5,14790.366666666667,14744.033333333333,14696.549999999997,14700.95,14839.8,14818.75,1.0,838.0,U,D,6.564440207460647E-74
