Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
27/02/2012,3452.01,3452.06,3412.17,3441.45,19.720000000000255,-0.05999999999994543,-17.86999999999989,3453.9033333333336,3453.306666666667,3461.7166666666667,3459.133333333333,3467.03,3447.31,3447.37,0.49615046553713654,556.0,D,U,0.5038495344628636
28/02/2012,3455.34,3462.54,3425.73,3453.99,-25.580000000000382,19.720000000000255,-0.05999999999994543,3451.9300000000003,3453.9033333333336,3453.306666666667,3461.7166666666667,3441.45,3467.03,3447.31,0.4878734003164928,557.0,D,U,0.5121265996835072
29/02/2012,3464.88,3489.48,3447.61,3452.45,12.539999999999964,-25.580000000000382,19.720000000000255,3454.1566666666663,3451.9300000000003,3453.9033333333336,3453.306666666667,3453.99,3441.45,3467.03,0.5003772826298231,558.0,D,D,0.4996227173701771
01/03/2012,3444.53,3500.01,3431.93,3499.73,-1.5399999999999636,12.539999999999964,-25.580000000000382,3449.2966666666666,3454.1566666666663,3451.9300000000003,3453.9033333333336,3452.45,3453.99,3441.45,0.4891801908518177,559.0,U,U,0.5108198091481823
02/03/2012,3504.72,3514.15,3493.79,3501.17,47.2800000000002,-1.5399999999999636,12.539999999999964,3468.7233333333334,3449.2966666666666,3454.1566666666663,3451.9300000000003,3499.73,3452.45,3453.99,0.5107163346245195,560.0,D,D,0.48928366537548057
05/03/2012,3485.51,3499.25,3462.66,3487.54,1.4400000000000546,47.2800000000002,-1.5399999999999636,3484.4500000000003,3468.7233333333334,3449.2966666666666,3454.1566666666663,3501.17,3499.73,3452.45,0.4973427507986107,561.0,U,U,0.5026572492013894
06/03/2012,3475.43,3475.43,3362.56,3362.56,-13.63000000000011,1.4400000000000546,47.2800000000002,3496.146666666666,3484.4500000000003,3468.7233333333334,3449.2966666666666,3487.54,3501.17,3499.73,0.5005011811325476,562.0,D,D,0.49949881886745234
07/03/2012,3364.13,3396.45,3363.28,3392.33,-124.98000000000002,-13.63000000000011,1.4400000000000546,3450.4233333333336,3496.146666666666,3484.4500000000003,3468.7233333333334,3362.56,3487.54,3501.17,0.45919149884474236,563.0,U,U,0.5408085011552576
08/03/2012,3415.6,3478.36,3410.94,3478.36,29.769999999999982,-124.98000000000002,-13.63000000000011,3414.1433333333334,3450.4233333333336,3496.146666666666,3484.4500000000003,3392.33,3362.56,3487.54,0.4920923989078319,564.0,U,U,0.507907601092168
09/03/2012,3484.59,3507.52,3464.74,3487.48,86.0300000000002,29.769999999999982,-124.98000000000002,3411.0833333333335,3414.1433333333334,3450.4233333333336,3496.146666666666,3478.36,3392.33,3362.56,0.4944362414125353,565.0,U,U,0.5055637585874646
